번호	파일명	캐릭터	화면	내용	원래 업로드 파일명
074	074_iolin_passive.jpg	이올린	고유패시브 팝업	복수의 여신 Lv5 (하단 · 복수 3 / 꺼지지 않는 증오심 / 증오)	914db8c1-image.jpg
075	075_iolin_passive.jpg	이올린	고유패시브 팝업	복수의 여신 Lv5 (074와 동일)	9692c071-image.jpg
076	076_iolin_passive.jpg	이올린	고유패시브 팝업	복수의 여신 Lv6 (하단 · 복수 4 / 증오)	2791d201-image.jpg
077	077_iolin_passive.jpg	이올린	고유패시브 팝업	복수의 여신 Lv3 (복수 1 / 추가행동 60%)	76808a4a-image.jpg
078	078_iolin_class.jpg	이올린	클래스 탭	파이터 · 공세2 툴팁 · 스탯 3427 / 1895	8e380643-image.jpg
079	079_iolin_profile.jpg	이올린	캐릭터 정보	★프로필(Iyolin Pandragon) · 에스겔력 1184년 · 166cm · CV 원에스더 · 초상화 크롭 원본	29d2d8e6-image.jpg
080	080_iolin_manifest.jpg	이올린	발현 트리	복수의 여신 발현 4단 (미해금 · 이전 단계 복수 5 / 4턴)	95eb1b65-image.jpg
081	081_iolin_manifest.jpg	이올린	발현 트리	복수의 여신 발현 4단 (복수 6 · 적 3명 / 4턴 / 피해 40% 감소)	6d08cc41-image.jpg
082	082_iolin_passive.jpg	이올린	고유패시브 팝업	복수의 여신 Lv4 (하단 · 복수 2 / 증오)	4d8c118e-image.jpg
083	083_iolin_class.jpg	이올린	클래스 탭	★파이터 계열 트리 전체(툴팁 없음) · 엠블럼 크롭 원본 · 스탯 3427 / 1895	90de5046-image.jpg
084	084_iolin_class.jpg	이올린	클래스 탭	파이터 · 공세1 툴팁	51987a61-image.jpg
085	085_iolin_manifest.jpg	이올린	발현 트리	복수의 여신 발현 2단 (복수 5 · 적 2명 / 4턴 / 30% 감소)	d365c86b-image.jpg
086	086_iolin_passive.jpg	이올린	고유패시브 팝업	복수의 여신 Lv3 (하단 · 복수 1 / 증오)	2b4b70d1-image.jpg
087	087_iolin_manifest.jpg	이올린	발현 트리	복수의 여신 발현 6단 (복수 7 · 적 3명 / 50% 감소) · 선행 조건 미충족	a5e0be22-image.jpg
088	088_iolin_class.jpg	이올린	클래스 탭	파이터 · 무쌍관파(액티브) 툴팁	5ae197b8-image.jpg
089	089_iolin_class.jpg	이올린	클래스 탭	로얄나이트 · 원섬파(액티브) + 기절 · 스탯 3792→4035 / 1938→1982	12fef1a6-image.jpg
090	090_iolin_class.jpg	이올린	클래스 탭	로얄나이트 · 격려1 툴팁	51d2be33-image.jpg
091	091_iolin_class.jpg	이올린	클래스 탭	소드마스터 · 공아섬(액티브) + 질풍 · 스탯 3792→3914 / 1938→2069	e202affe-image.jpg
092	092_iolin_artifact.jpg	이올린	아티팩트	속성 과부하 ★1 (영웅)	d57eb3e4-image.jpg
093	093_iolin_class.jpg	이올린	클래스 탭	아크나이트 · 회륜섬(액티브) 툴팁	a5ef19c9-image.jpg
094	094_iolin_class.jpg	이올린	클래스 탭	아크나이트 · 억제1 + 억제 디버프 툴팁	1ec46d12-image.jpg
095	095_iolin_class.jpg	이올린	클래스 탭	소드맨 · 단월섬(액티브) 툴팁 · 스탯 3792→3670 / 1938→1982	4e2343ab-image.jpg
096	096_iolin_class.jpg	이올린	클래스 탭	로얄나이트 · 격려2 툴팁	55885efd-image.jpg
097	097_iolin_class.jpg	이올린	클래스 탭	아크나이트 · 억제2 툴팁	e556c125-image.jpg
098	098_iolin_class.jpg	이올린	클래스 탭	파이터 · 연섬(액티브) 툴팁	3ca3218a-image.jpg
099	099_iolin_class.jpg	이올린	클래스 탭	나이트 · 고양2 툴팁	e4d621da-image.jpg
100	100_iolin_class.jpg	이올린	클래스 탭	파이터 · 공세2 툴팁 (078과 유사)	bea747b6-image.jpg
101	101_iolin_class.jpg	이올린	클래스 탭	파이터 · 질주(액티브) 툴팁	ff56ee82-image.jpg
102	102_iolin_class.jpg	이올린	클래스 탭	나이트 · 활기의 함성(액티브) + 활기 툴팁	fde29a0f-image.jpg
103	103_iolin_class.jpg	이올린	클래스 탭	나이트 · 고양1 툴팁	088a9e1c-image.jpg
104	104_iolin_artifact.jpg	이올린	아티팩트	최상의 상태 ★4	2f18f3b1-image.jpg
105	105_iolin_artifact.jpg	이올린	아티팩트	최상의 상태 ★3	2b503c3a-image.jpg
106	106_iolin_artifact.jpg	이올린	아티팩트	속성 과부하 ★2	ccce051f-image.jpg
107	107_iolin_artifact.jpg	이올린	아티팩트	바람 걸음 ★3	903ddefb-image.jpg
108	108_iolin_artifact.jpg	이올린	아티팩트	바람 걸음 ★2	d412a610-image.jpg
109	109_iolin_artifact.jpg	이올린	아티팩트	바람 걸음 ★4	4bdd4de3-image.jpg
110	110_iolin_artifact.jpg	이올린	아티팩트	최상의 상태 ★2	12a713e3-image.jpg
111	111_iolin_artifact.jpg	이올린	아티팩트	속성 과부하 ★4	3a5d6a32-image.jpg
112	112_iolin_artifact.jpg	이올린	아티팩트	속성 과부하 ★3	13c407bf-image.jpg
113	113_iolin_manifest.jpg	이올린	발현 트리	블리자드 스톰 발현 5단 (145%) + 냉기 둔화 / 빙결 툴팁 · 이전 단계 140%	1ec610f6-image.jpg
114	114_iolin_class.jpg	이올린	클래스 탭	소드맨 · 우세1 툴팁	a72d0598-image.jpg
115	115_iolin_manifest.jpg	이올린	발현 트리	복수의 여신 발현 2단 + 복수 5 / 꺼지지 않는 증오심 / 증오 툴팁	a03e3805-image.jpg
116	116_iolin_artifact.jpg	이올린	아티팩트	바람 걸음 ★1	58b81155-image.jpg
117	117_iolin_artifact.jpg	이올린	아티팩트	최상의 상태 ★1	935714cd-image.jpg
118	118_iolin_class.jpg	이올린	클래스 탭	소드마스터 · 검술의 달인2 툴팁	493652fc-image.jpg
119	119_misc_roster.jpg	기타	캐릭터 업적	신념의 빛[백] 캐릭터 목록 134/143 (썸네일 다수)	83673986-image.jpg
120	120_iolin_class.jpg	이올린	클래스 탭	소드마스터 · 검술의 달인1 툴팁	8f6a6004-image.jpg
121	121_iolin_manifest.jpg	이올린	발현 트리	복수의 여신 발현 4단 + 복수 6 / 증오 툴팁	4e7a6b17-image.jpg
122	122_iolin_manifest.jpg	이올린	발현 트리	복수의 여신 발현 6단 + 복수 7(영구) / 증오 툴팁	f7b16106-image.jpg
123	123_iolin_class.jpg	이올린	클래스 탭	소드맨 · 우세2 툴팁	bf0cc06a-image.jpg
124	124_iolin_weapon-awaken.jpg	이올린	전용무기 각성	엑스칼리버 ★6 상단 · 공격력 +20% · 찬란한 성검 폭발 6 / 성검 폭발 6	1073e4a9-image.jpg
125	125_iolin_weapon-awaken.jpg	이올린	전용무기 각성	엑스칼리버 ★3 상단 · 공격력 +17%	26cb054a-image.jpg
126	126_iolin_weapon-awaken.jpg	이올린	전용무기 각성	엑스칼리버 ★2 상단 · 공격력 +16%	07948dac-image.jpg
127	127_iolin_weapon-awaken.jpg	이올린	전용무기 각성	엑스칼리버 ★6 하단 · 최대 체력 136 / 공격력 360	8665334c-image.jpg
128	128_iolin_weapon-awaken.jpg	이올린	전용무기 각성	엑스칼리버 ★4 하단 · 134 / 353	4e399566-image.jpg
129	129_iolin_weapon-awaken.jpg	이올린	전용무기 각성	엑스칼리버 ★2 하단 · 131 / 345	ef9810aa-image.jpg
130	130_iolin_weapon-awaken.jpg	이올린	전용무기 각성	엑스칼리버 ★1 상단 · 공격력 +15%	ad5fd369-image.jpg
131	131_iolin_weapon-awaken.jpg	이올린	전용무기 각성	엑스칼리버 ★5 상단 · 공격력 +19% · 성검 폭발 5 (28% / 13%)	6235fff1-image.jpg
132	132_iolin_weapon-awaken.jpg	이올린	전용무기 각성	엑스칼리버 ★3 하단 · 132 / 349	1ea67f82-image.jpg
133	133_iolin_weapon-awaken.jpg	이올린	전용무기 각성	엑스칼리버 ★5 하단 · 135 / 356	4230388d-image.jpg
134	134_iolin_weapon-awaken.jpg	이올린	전용무기 각성	엑스칼리버 ★4 상단 · 공격력 +18%	cc6e66d1-image.jpg
135	135_iolin_weapon-awaken.jpg	이올린	전용무기 각성	엑스칼리버 ★1 하단 · 130 / 342	3e1c18c1-image.jpg
136	136_iolin_weapon.jpg	이올린	장비 탭	★엑스칼리버 상세(특화 옵션·설명문) + 장비 슬롯 · 무기 아이콘/일러스트 크롭 원본	5fdf6371-image.jpg
137	137_iolin_skill.jpg	이올린	스킬 탭	블리자드 스톰(초필살기) 툴팁 + 냉기 둔화 / 빙결 · TP5 / 쿨 5턴 / 135%	acbc1182-image.jpg
138	138_iolin_skill.jpg	이올린	스킬 탭	★보유 스킬 전체 아이콘(액티브3+초필살기+패시브2) · 큰 아이콘 크롭 원본	615c85be-image.jpg
139	139_iolin_class.jpg	이올린	클래스 탭	파이터 · 무쌍관파 (재촬영 · 스탯 3914→3427 / 2069→1895)	56497f34-image.jpg
140	140_iolin_class.jpg	이올린	클래스 탭	파이터 · 연섬 (재촬영)	e9663244-image.jpg
141	141_iolin_class.jpg	이올린	클래스 탭	파이터 · 질주 (재촬영)	46c48dab-image.jpg
