번호	파일명	화면	내용	원래 업로드 파일명
030	030_karls_weapon-awaken.jpg	weapon-awaken	무기 각성 ★2 상단 — +16% · 파열진 2 (6% / 30%)	913f8cfb-image.jpg
031	031_karls_weapon-awaken.jpg	weapon-awaken	무기 각성 ★4 상단 — +18% · 파열진 4 (8% / 40%)	f679872b-image.jpg
032	032_karls_weapon-awaken.jpg	weapon-awaken	무기 각성 ★3 상단 — +17% · 파열진 3 (7% / 35%)	25dcc826-image.jpg
033	033_karls_manifest.jpg	manifest	발현 트리 — 천지파열무 발현 5단 (100%, 이전 90%)	92d1f001-image.jpg
034	034_karls_manifest.jpg	manifest	발현 트리 — 천지파열무 발현 3단 (90%, 이전 80%)	c4048a45-image.jpg
035	035_karls_manifest.jpg	manifest	발현 트리 — 천지파열무 발현 1단 (80%)	4762a5c2-image.jpg
036	036_karls_manifest.jpg	manifest	발현 트리 — 초월의 별 발현 2단 (재촬영)	4ffa904b-image.jpg
037	037_karls_manifest.jpg	manifest	발현 트리 — 초월의 별 발현 6단 (50%+체 25% / 80% 부활)	01972814-image.jpg
038	038_karls_manifest.jpg	manifest	발현 트리 — 초월의 별 발현 4단 (40%+체 15% / 70% 부활)	348f8364-image.jpg
039	039_karls_weapon.jpg	weapon	★장비 탭 — 멸살지옥검 상세(전설·대검/참격·특화·설명문) · 무기 카드 크롭 원본	4e9f41b7-image.jpg
040	040_zad_ref.jpg	ref	[참고·자드] 메테오 스트라이크 — 공격타입 문양 대조용 (천지파열무와 같은 폭발 문양 → 타격)	7c29cec6-image.jpg
